"uri","indexed_at","text","like_count","reply_count","repost_count"
"at://did:plc:nrepv6pvm5zcexreteqt4axg/app.bsky.feed.post/3mjzeakgwzj2n",2026-04-21 16:03:07.348,"A landmark African Court opinion could soon define state obligations for people displaced by climate change. 

With millions in Africa forced from their homes by floods and erosion, advocates say the ruling is a major chance for the court to lead on durable solutions for climate survivors.",9,0,3
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzeiglftr2q",2026-04-21 16:07:31.158,"I feel your frustration! It's disheartening when powerful voices dismiss climate action as impossible or partisan. We need people like you who care deeply about the future, not just the present. Let's keep pushing for change together 🌎",0,0,0
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzeg7p7sr2q",2026-04-21 16:06:16.852,"The irony of smallpox vaccinations during the Revolutionary War is stark, highlighting the cruel legacy of colonialism's brutal treatment of Native Americans. This dark chapter serves as a reminder that climate change is not just an ecological iss...

♻️ Eco Tips",0,0,0
"at://did:plc:mu245cxvbvnyslwgcyz5kasl/app.bsky.feed.post/3mjze3xvxl22g",2026-04-21 16:00:50.55,"Guatemala, Mexico, and Belize are coming together to protect the Great Mayan Forest. These 3 countries reached an agreement to coordinate conservation strategies, including wildlife monitoring, mitigating climate change, combating illegal logging, preventing wildfires, and creating green jobs.",0,1,1
"at://did:plc:75d5js6amejyb2zwkb5oof7p/app.bsky.feed.post/3mjze3hedtz2b",2026-04-21 16:00:17.755,".
Sarah Finch receives Goldman Environmental Prize over Supreme Court judgment against oil drilling in Surrey

We need to take urgent #ClimateAction right now to avoid the worst of Climate Change!

Find out more: www.leighday.co.uk/news/pre...
.",3,0,1
"at://did:plc:hzs7k44mrrfmfbi6opv5u2cw/app.bsky.feed.post/3mjze3g7k262p",2026-04-21 16:00:15.447,"Michael review – Jackson movie biopic is a ghoulish, soulless cash grab

https://www.europesays.com/uk/909176/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",1,0,0
"at://did:plc:osrncowkck3uw2ggwyyxumgg/app.bsky.feed.post/3mjze2v7qa22h",2026-04-21 16:00:00.052,"Organic crops can feed global human pop, replace Animal Ag wh uses 50% of lands & waters of Earth while poluting all elements, disupting Natural Balances that give life to all forms. Climate change causes also include the deforestation committed by Animal Ag. www.sciencedirect.com/science/arti...",0,0,0
"at://did:plc:rkesngfpa3xpqqf4ho5ihjhw/app.bsky.feed.post/3mjzdysro2c25",2026-04-21 15:58:53.558,"And of course nothing in the Mainstream #Media catastrophic #climate change is already happening!",0,0,0
"at://did:plc:bewgr6xys3euxuztrh6r6i77/app.bsky.feed.post/3mjzdvfmrlk2p",2026-04-21 15:56:55.753,"""None of my friends stand to make start-up money from climate change, while I can help them cash out of the AI bubble as Fed Chairman."" -- what he'd answer under the Lasso of Hestia.",2,0,0
"at://did:plc:yw6wbtma6fynxiafh5v7j5sf/app.bsky.feed.post/3mjzduvtxc226",2026-04-21 15:56:41.35,"""Utah’s bill (HB 222), signed into law by Republican Governor Spencer Cox on March 23, prohibits civil or criminal liability for climate-change-related harms stemming from greenhouse gas emissions."" www.sierraclub.org/sierra/while... GHG EPA health #climate #law",0,0,1
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjze6egtmi2w",2026-04-21 16:01:53.752,"Climate change isn't just about weather or jobs, it's about our future and the world we want to live in. We need sustainable solutions now more than ever. 🌎

♻️ Eco Tips",0,0,0
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjze4inylr2q",2026-04-21 16:00:51.155,"Climate change isn't just about money or politics - it's about our collective future. The decade that saw Michael Jackson and Prince dominate the airwaves paved the way for a generation of environmental icons like Justin Timberlake who are now fig...

♻️ Eco Tips",0,0,0
"at://did:plc:4zpzstmkjfhd7sxvnwfwryln/app.bsky.feed.post/3mjzdrxaoak2s",2026-04-21 15:54:57.147,"Wild climate change news from the desk of the late Sen Inhofe, apparently it's gone down 22 degrees over the last 10 years!!!",0,1,0
"at://did:plc:dwvj42vnvqkswr7qzere5htx/app.bsky.feed.post/3mjzdqq7z7k2q",2026-04-21 15:54:18.247,"I am also in ATL and am desperate for rain. We have already had summer, it seems, so I am fearful when it really is summer. We are already in a severe drought. But no way climate change is real - Sure, Jan ☹️",0,0,0
"at://did:plc:ei7mwkddchpm3danlkvi56i3/app.bsky.feed.post/3mjzdpsfef22y",2026-04-21 15:53:51.656,"The future of senior housing in Florida! Yes, climate change is real & all that water is coming to getcha!",1,1,0
"at://did:plc:zngmxisd7tgnh53tye5s7kcf/app.bsky.feed.post/3mjzdpk462k2w",2026-04-21 15:53:36.444,"Gotta love climate change and its impact on migrating species. Did you have to get medical?",0,0,0
"at://did:plc:rwflssqu5stc4abk75vvr3iy/app.bsky.feed.post/3mjzdmxr4rc2e",2026-04-21 15:52:10.045,"People who deny the benefits of vaccines and people who deny the reality of human-created climate change are worthy only of derision, disdain, and scorn.",5,1,3
"at://did:plc:vizwdor43adw3277u2kkrssd/app.bsky.feed.post/3mjzdjrvoz42v",2026-04-21 15:50:23.448,"Michael review – Jackson movie biopic is a ghoulish, soulless cash grab

https://www.europesays.com/uk/909176/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…#uk #news #uknews",1,0,0
"at://did:plc:e4plp7wljosxam7hhsny6vs3/app.bsky.feed.post/3mjzdgyrcnc2j",2026-04-21 15:48:50.061,"Both needed bec we can't turn around climate change soon enough not to need better levies. Ditto Dems- they have to fight POTUS but also address the corrupt powers in House and Senate",1,0,2
"at://did:plc:pgoeaxszd4dbup5gyndtdo4u/app.bsky.feed.post/3mjzdeus2ak2x",2026-04-21 15:47:38.545,"Tomorrow is #EarthDay! 🌎

For every player who logs into Aloft tomorrow, we'll donate $1 USD to @CoolEarth in support of their mission to combat climate change and protect ecosystems around the world.

Join us in the skies and help make a difference! 💙💚
#EarthAppreciationFestival",3,0,0
"at://did:plc:zza2o2czinwmp5y3afoyrot4/app.bsky.feed.post/3mjzdemf3sc2k",2026-04-21 15:47:29.743,"Temperature fluctuations have killed every nice flower on the property. First cold snap killed the magnolia...then a heatwave of 90 degrees killed the daffodils. Now we've been back in the 20's overnight, and things like the hydrangea are getting fried again. This is what climate change looks like.",5,3,0
"at://did:plc:47ukz5svch7g2jmqu674y7b5/app.bsky.feed.post/3mjzdaik5me2g",2026-04-21 15:45:11.645,"UK ‘mustn’t cut ourselves off’ from China over risks, says CBI boss

https://www.europesays.com/britain/18804/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",0,0,0
"at://did:plc:ax5eqan377q2vtda4cxcoluz/app.bsky.feed.post/3mjzd54ntdc2l",2026-04-21 15:43:18.054,"And it would be hard to find a state with a worse history of climate change acceptance than Florida.",1,1,0
"at://did:plc:a5sq5tsc6wvziuhl5dmki7nh/app.bsky.feed.post/3mjzcvyddpk26",2026-04-21 15:39:18.95,"It's bonkers. Like, even if you insist on disbelieving climate change,  o don't think many people really believe fossil fuel isn't finite,  and we all know whose hands most of it is in. That's the fossil fuel lobby for ya.",0,0,0
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzd6ktbqk2p",2026-04-21 15:44:06.355,"Climate change is like a slow-motion disaster movie - we've seen the warning signs and yet millions are still struggling to breathe. Let's take action together! 🌎  By the way, check out these amazing indie games on Steam: Frostpunk, Hyper Light Dr...

♻️ Eco Tips",0,0,0
"at://did:plc:vujck3ucc4eiy2ittdtezn6p/app.bsky.feed.post/3mjzcr6bxi22t",2026-04-21 15:36:37.45,"I would like someone to explore with Mr Warsh why he thinks the economic impacts of AI are within the Fed’s remit but the economic impacts of climate change are not.

Smith’s question about insurance almost got there but didn’t quite.",97,1,17
"at://did:plc:6hg35ebaq2cgm4wsmmgxfdtg/app.bsky.feed.post/3mjzcqybp522x",2026-04-21 15:36:31.047,"I appreciate @smith.senate.gov question to Kevin Warsh, asking if price increases that don’t come explicitly from Fed policy, such as climate change pushing up home insurance rates. His answers give the impression that he believes the Fed can control all inflation*.",0,1,0
"at://did:plc:5isnx7iv3gmg7dd5g35hmkdx/app.bsky.feed.post/3mjzcol4hj22g",2026-04-21 15:35:11.555,"The political elite have responded devotedly to fossil fuel propaganda that Americans no longer care about climate change.

Actually, American concern about climate change is near record highs.

Pluralistic ignorance, in action: news.gallup.com/poll/708050/...",0,0,0
"at://did:plc:7sv7xdmzz3h5cmvboye3z2u2/app.bsky.feed.post/3mjzcog7mxc2h",2026-04-21 15:35:05.363,"Would climate change be within the realm of possibility to account for this? Or is this how weather has always been in Texas?",1,0,0
"at://did:plc:onyzjvkd3clk4n4t322jaz5a/app.bsky.feed.post/3mjzcmfm6qs2y",2026-04-21 15:33:58.844,"Circling busses to protest watering down climate change legislation seems rather hypocritical and counter productive.",1,0,0
"at://did:plc:lxvz2h3knl7zg2tfkquqa3bu/app.bsky.feed.post/3mjzcfmz53t2f",2026-04-21 15:30:09.958,"Think concern for climate change is passé? Think again.

https://www.europesays.com/2935334/

Nobody cares about climate change anymore, right? I mean, that’s the received wisdom of the moment. The media…",0,0,0
"at://did:plc:j5eicgpfar5mhj6pqadrh2rh/app.bsky.feed.post/3mjzcf7yaxk2f",2026-04-21 15:30:05.26,"#Bales2026MovieChallenge 

April 22 - Planet Earth 

An Inconvenient Truth

...rising co2 levels and how it impacts climate change on our planet are presented in this documentary 

#filmsky #moviesky",2,0,0
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzcmtttsq2k",2026-04-21 15:34:11.849,"The history of climate change isn't just about politics, it's about human health. Smallpox was nearly wiped out by mass vaccination in the 20th century - we could do the same for our planet if we take action now 🌎

♻️ Eco Tips",0,0,0
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzcmhoqja2u",2026-04-21 15:33:59.056,"Embracing a zero-waste lifestyle reduces waste, saves resources, and helps combat climate change 💚. Every small choice counts - start with reusable bags, refillable water bottles, and composting at...

🌎 Join our movement",0,0,0
"at://did:plc:wwyplm4n5du3vbnu6snrrirv/app.bsky.feed.post/3mjzcckrcbc2w",2026-04-21 15:28:28.244,"Climate change, hurricanes, citrus greening, chemical treatments, random freezes, changing consumer tastes, the ups and downs of corporate investment and ownership,

but what finally killed the orange groves was an invasive they couldn't fight: Florida suburban sprawl

slate.com/business/202...",0,1,0
"at://did:plc:bjlpke7dy5wjzetadob5zhnn/app.bsky.feed.post/3mjzccjkbak2l",2026-04-21 15:28:25.664,"How the coffee industry was (and is) royally and truly fucked unless we do something about climate change.

Fun fact: you used to be able to grow coffee in a big single band that straddled the equator. There's now 2 smaller bands that have split, are migrating north/south, and shrinking.",0,0,0
"at://did:plc:sxrtukqfuylj2pegpcmwojzt/app.bsky.feed.post/3mjzcanadgk24",2026-04-21 15:27:20.767,"There is nothing more important than this.  All the other policy areas are less important because climate change will make all of the UK's other problems worse. If Labour can set us on a non reversible path to net zero their time in government will be worthwhile",4,0,0
"at://did:plc:ax5eqan377q2vtda4cxcoluz/app.bsky.feed.post/3mjzc6yblyc2l",2026-04-21 15:26:27.249,"Unfortunately, working on climate change doesn't pay well enough to get all the massages and therapy necessary.",2,1,0
"at://did:plc:vqlbfhj724eumycn75oqjyma/app.bsky.feed.post/3mjzc6enies2v",2026-04-21 15:26:07.255,"Happy Book Birthday to The Fall-Down Effect by @lizjohnston.bsky.social! Exploring protest, climate change & fractured family relationships, this stellar debut work of climate fiction asks what we really owe people in our lives when we're fighting for a greater cause. bookhugpress.ca/shop/books/f...",2,2,1
"at://did:plc:fy2hlld62uf7elserowswaaf/app.bsky.feed.post/3mjzc5dfijk23",2026-04-21 15:23:10.35,"This is one of 3 priorities that ANJEC is currently working on. Working to ensure NJ enacts the NJPACT REAL rules making families and family homes safer from the flooding impacts of climate change.
Tell your state legislature that we need NJPACT REAL Rules:
action.njlcv.org/a/njpact-rea...",0,0,0
"at://did:plc:qzuv26yymk5wt4k2rfwhjru3/app.bsky.feed.post/3mjzbvxinzk2v",2026-04-21 15:21:24.153,"this reveals a callous lack of regard for people dying on our streets (and is straightforward climate change denial) and it should be embarrassing and career-ending for self-described Democrats to engage in it",3,0,0
"at://did:plc:eeicf57cwhd352bstl5gtiuo/app.bsky.feed.post/3mjzbtibg3s2v",2026-04-21 15:20:05.874,"The bottom line is that the drivers of future natural catastrophe and climate change risk are becoming more complex with time. Most people focus on physical damage risk, but the non-hazard factors are increasingly a major concern for how we calculate the cost of disasters in the years ahead.

(6/6)",6,0,0
"at://did:plc:eeicf57cwhd352bstl5gtiuo/app.bsky.feed.post/3mjzbsxppvk2v",2026-04-21 15:20:05.802,"While, of course, there is an element of influence from climate change and annual extreme weather volatility, we conclude that the hazard factors play a more limited role in loss cost growth (10-20%).

(3/n)",3,1,1
"at://did:plc:mjjhewaevvpabatdqr2bz5i6/app.bsky.feed.post/3mjzbslhutk2e",2026-04-21 15:19:31.245,"If I were someone whose job involved thinking about the effects of climate change I would need a lot of massage and therapy. (I'm just a geography hobbyist, really.)",1,1,0
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzbz2ahan2q",2026-04-21 15:23:07.448,"Hey there, friend! 💚 Climate change affects our planet's future, from melting ice to dying coral reefs. The fires burning Amazon rainforest and oceans are just two examples of what we're facing. Let's work together to reduce waste, protect wildlif...

♻️ Eco Tips",0,0,0
"at://did:plc:smhvsvewjg4bjtdzjjzrd64w/app.bsky.feed.post/3mjzbobrgy22r",2026-04-21 15:17:06.949,"“You know what, God Himself wouldn’t let climate change happen, so it’s not really happening and it’s not because of humans but even if it does we will figure out technology to solve it that isn’t the green technology we already have that I oppose because it doesn’t benefit my oil futures portfolio”",1,2,0
"at://did:plc:5sfd4v4dnrtd5ogec2idv7sl/app.bsky.feed.post/3mjzbo4kha22l",2026-04-21 15:17:06.165,"""Big Tech says AI is an important tool to fight climate change, while virtually none of the generative AI driving the boom is actually being used to fight climate change."" www.foodandwaterwatch.org/2026/04/10/d...",0,0,0
"at://did:plc:ctlriupb73fazhtniobmcurj/app.bsky.feed.post/3mjzbntpqmz2r",2026-04-21 15:16:51.852,"Climate change? Nah, buddy, it’s climate consequence.",0,0,0
"at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mjzbnks6j32x",2026-04-21 15:16:42.75,"EU sanctions Russian firms linked to propaganda and misinformation

https://www.europesays.com/europe/19182/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",0,0,0
"at://did:plc:msian4dqa2rqalf3biilnf3m/app.bsky.feed.post/3mjzbm5ozot2z",2026-04-21 15:15:55.646,"Swimming crisis deepens as Norway joins Poland in refusing to host Russian and Belarusian athletes

https://www.europesays.com/2935344/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",3,0,3
"at://did:plc:szqhv7m6kczlzaxogezigt2m/app.bsky.feed.post/3mjzblkhrjc2f",2026-04-21 15:15:33.049,"And yet climate change is a hoax ...",0,0,0
"at://did:plc:l4gpplnhv7fqqnrpjxlytedf/app.bsky.feed.post/3mjzbleuhac2k",2026-04-21 15:15:32.05,"Imagine a world where old rich men want to win the war on:
1. Cancer
2. Alzheimer’s and dementia 
3. Climate change 
4. Bees population decline 
5. Human trafficking
6. Pollution 
7. Racism and discrimination",0,0,0
"at://did:plc:dmpirdk6dcab4uobpav2ffz7/app.bsky.feed.post/3mjzblbu5h22j",2026-04-21 15:15:27.147,"EU sanctions Russian firms linked to propaganda and misinformation

https://www.europesays.com/europe/19182/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",0,0,0
"at://did:plc:2cbvsiozfowuy2742bfigkff/app.bsky.feed.post/3mjzbl44vhz2f",2026-04-21 15:15:20.644,"St John’s Waterloo hosted a local election hustings on Monday for the Lambeth Council ward of Waterloo & South Bank, giving residents the chance to hear directly from candidates on local issues including developments and climate change. Have your say in the elections on 7 May.",0,0,0
"at://did:plc:tygmoztg7hvboeqteixmx6ky/app.bsky.feed.post/3mjzbkqecqh2v",2026-04-21 15:15:07.748,"Shell faces new court case in Netherlands over oil and gas investments

https://www.europesays.com/netherlands/4595/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",0,0,0
"at://did:plc:gzeacyv5kejszaajbexbkxql/app.bsky.feed.post/3mjzbgfohgc2q",2026-04-21 15:12:44.158,"Extremely strong correlation between fossil fuel dependence and higher energy costs. Forget climate change (well no, you can’t, but), deep sixing fossil fuels in favour of other energy sources lower costs.",1,0,0
"at://did:plc:6mez57k2gfhgliiqz6chfczi/app.bsky.feed.post/3mjzbdhkprm2i",2026-04-21 15:11:04.253,"Women make up ~80% of climate refugees, yet hold < 30% of roles in climate decision-making. This inequality leads to weaker solutions. WMO’s Roberta Boscolo is here to change that.

📘Bold Women, Sustainable Futures: 2026 
📚Now available wherever books are sold: buff.ly/v3iLYg5

#book #booksky",2,0,0
"at://did:plc:2d6kuvaoa7qi6bq5cwq4isee/app.bsky.feed.post/3mjzbdg4pgu2y",2026-04-21 15:11:04.852,"Cropped is Carbon Brief’s fortnightly newsletter that provides a digest of all the key developments from the fraught, yet fascinating intersection between food systems 🐄 , land use 🌽, nature 🌿 and climate change.

Sign up here for free ⬇️
subscribe.carbonbrief.org",2,0,1
"at://did:plc:g4azwgtgomucamnioxgnm5jb/app.bsky.feed.post/3mjzbm55r5w2z",2026-04-21 15:15:54.251,"Climate change is not just about politics, it's about the well-being of future generations and the planet. The choices we make today will determine our collective fate. Let's focus on creating a better world for all, not just the privileged few 🌎

♻️ Eco Tips",0,0,0
"at://did:plc:mjjhewaevvpabatdqr2bz5i6/app.bsky.feed.post/3mjzb5eeglk2q",2026-04-21 15:07:39.054,"Yeah :/ that is absolutely flood country. Thing about climate change is that it's poised to do a lot more of that. Warmer air holds water longer, then when it gets dumped it dumps way too much all at once. It's just a bigger sponge.",1,1,0
